dataset,k,tr,fro,time
yolanda,800,0.15626055444992698,0.007219098126149202,10.953365087509155
yolanda,800,0.15596329885683108,0.007158589239634474,7.639040231704712
yolanda,800,0.15601442206855706,0.007197689709069098,11.11397647857666
yolanda,800,0.1558818080667127,0.007221692870440128,9.355841398239136
yolanda,800,0.15572810328916684,0.0072041369295642085,10.754698276519775
yolanda,800,0.1561599933169378,0.007259283978166004,8.384513139724731
yolanda,900,0.14757581994447036,0.006728731442848305,8.919743776321411
yolanda,900,0.1477332442906577,0.006696774497101861,9.619792938232422
yolanda,900,0.14751338842757997,0.0067293063316422996,10.473589897155762
yolanda,900,0.14762149992356532,0.0067486540252370214,9.09538221359253
yolanda,900,0.14767849196430585,0.00666402001332255,10.042791843414307
yolanda,900,0.1476242185361265,0.006688723740725447,8.902708530426025
yolanda,900,0.14780501315873762,0.006699478319785503,9.449195384979248
yolanda,900,0.14761534478132862,0.006683267925408399,8.27712106704712
yolanda,900,0.14752842774086597,0.006701564673624849,10.062943935394287
yolanda,900,0.1480182211859395,0.006719636967484929,10.999213933944702
yolanda,1000,0.1402348582175562,0.006332738482492181,11.64823055267334
yolanda,1000,0.14014423840369777,0.0062574470981546695,12.697703838348389
yolanda,1000,0.14056519105968476,0.006279046658743484,10.953365802764893
yolanda,1000,0.13993065407458405,0.0062816381345946045,9.05073070526123
yolanda,1000,0.14012134761430148,0.006261637649601488,10.624805212020874
yolanda,1000,0.13977868124296158,0.006265305789793774,10.255786657333374
yolanda,1000,0.14018664281173687,0.006257350334577751,9.906183004379272
yolanda,1000,0.13992204351398962,0.006279683092599518,10.646604537963867
yolanda,1000,0.14032207426034135,0.006290100251919526,9.454492568969727
yolanda,1000,0.14036939042131558,0.006307574993453346,10.661107301712036
mnist_784,10,0.5013918007381176,0.17132520284145258,0.6864557266235352
mnist_784,10,0.4510277492376391,0.09797677622862004,0.6361961364746094
mnist_784,10,0.4308510113088232,0.08061462768935396,0.7172451019287109
mnist_784,10,0.4384380045052982,0.0892786889178961,0.5248157978057861
mnist_784,10,0.4476937010741699,0.09914566539163051,0.6138474941253662
mnist_784,10,0.4586277126075226,0.10731178833047372,0.8683109283447266
mnist_784,10,0.4407180539097988,0.08742471062818391,0.6286005973815918
mnist_784,10,0.4212442209704126,0.07774098512710269,0.7651898860931396
mnist_784,10,0.479787716333138,0.1332285682087073,0.7942757606506348
mnist_784,10,0.47096489788067375,0.11531959951783267,0.7475481033325195
mnist_784,50,0.3295037410668266,0.039820694518998896,3.35187029838562
mnist_784,50,0.33470484264410966,0.04242909800699396,3.072913408279419
mnist_784,50,0.32379351848594595,0.036859855691801044,3.1478185653686523
mnist_784,50,0.32704597936805513,0.03879849776198221,3.2641828060150146
mnist_784,50,0.3311683792304476,0.0401818296000743,3.4486358165740967
mnist_784,50,0.33063430538398186,0.039914910663989195,2.437512159347534
mnist_784,50,0.33913042304740904,0.0439438640751669,3.5592353343963623
mnist_784,50,0.3316467880106487,0.040487886845724116,3.754257917404175
mnist_784,50,0.3289806745184021,0.039570550481349415,3.753385066986084
mnist_784,50,0.3274141838161337,0.038309803289981015,2.5328543186187744
mnist_784,100,0.27974437268231556,0.028255156803333882,5.428901195526123
mnist_784,100,0.28291929903750995,0.028750917278076594,6.6354734897613525
