dataset,k,rp_tr,rp_fro,rp_time,greedy_tr,greedy_fro,greedy_time,opt_tr,opt_fro
mnist_784,1000,0.10859408725299277,0.004950039092100155,8.550052404403687,0.16961570190263237,0.025289214473876706,5.906945466995239,0.059598032264419724,0.001966395100827775
mnist_784,1000,0.10925885104045653,0.004971093896696612,8.025471687316895,0.16961570190263237,0.025289214473876706,5.519186735153198,0.059598032264419724,0.001966395100827775
jannis,1000,0.10859463364191586,0.006498868765894821,6.831724643707275,0.12690906630568452,0.011601896393602176,5.927795648574829,0.05415897194725045,0.0021646989092757927
jannis,1000,0.108546230984057,0.006496786456292321,7.020700454711914,0.12690906630568452,0.011601896393602176,6.941110849380493,0.05415897194725045,0.0021646989092757927
jannis,1000,0.10890085819251037,0.006543254495491171,8.18728494644165,0.12690906630568452,0.011601896393602176,6.734800815582275,0.05415897194725045,0.0021646989092757927
jannis,1000,0.1083028768700694,0.0064532763330803,8.31895637512207,0.12690906630568452,0.011601896393602176,7.785608530044556,0.05415897194725045,0.0021646989092757927
jannis,1000,0.1088012088362226,0.0065171629010170725,7.471123456954956,0.12690906630568452,0.011601896393602176,7.625729560852051,0.05415897194725045,0.0021646989092757927
jannis,1000,0.10856405715476565,0.0065066674041156835,8.061092376708984,0.12690906630568452,0.011601896393602176,6.632109642028809,0.05415897194725045,0.0021646989092757927
jannis,1000,0.10906698772781301,0.006577557489165032,7.607597351074219,0.12690906630568452,0.011601896393602176,6.210515022277832,0.05415897194725045,0.0021646989092757927
jannis,1000,0.10895112628100964,0.006577786561081612,8.411735773086548,0.12690906630568452,0.011601896393602176,5.449150323867798,0.05415897194725045,0.0021646989092757927
jannis,1000,0.10888272884091842,0.006515056785096493,7.13856840133667,0.12690906630568452,0.011601896393602176,6.32229471206665,0.05415897194725045,0.0021646989092757927
jannis,1000,0.10865560033656534,0.0065244315525121895,9.132471323013306,0.12690906630568452,0.011601896393602176,6.053321838378906,0.05415897194725045,0.0021646989092757927
volkert,1000,0.042962252785591785,0.0022485314594642316,6.857563257217407,0.06088311578799171,0.008145680388444229,5.217076301574707,0.020563770184021862,0.0007161862742119642
volkert,1000,0.0432029832634117,0.0022661385773552127,6.514229774475098,0.06088311578799171,0.008145680388444229,7.6871092319488525,0.020563770184021862,0.0007161862742119642
volkert,1000,0.0429596750129793,0.0022543170676333347,7.07977819442749,0.06088311578799171,0.008145680388444229,5.300402641296387,0.020563770184021862,0.0007161862742119642
volkert,1000,0.04318966463257641,0.002293109308657609,6.506775617599487,0.06088311578799171,0.008145680388444229,6.478404521942139,0.020563770184021862,0.0007161862742119642
volkert,1000,0.043169143456570094,0.002274556279265675,6.683743953704834,0.06088311578799171,0.008145680388444229,5.4861719608306885,0.020563770184021862,0.0007161862742119642
